epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.58,1.48637,2.58451,1.44694,0.5391,0.48248,0.48747,0.28139,1.48269,1.80633,1.47869,0.000208051,0.000208051,0.000208051
2,184.238,1.49217,2.13322,1.48259,0.57598,0.49367,0.5092,0.29174,1.52095,1.80642,1.52841,0.00040814,0.00040814,0.00040814
3,268.787,1.51094,2.06543,1.49537,0.57672,0.4601,0.49046,0.27323,1.53463,1.76298,1.54014,0.000599979,0.000599979,0.000599979
4,359.58,1.51168,2.00851,1.50717,0.57621,0.49119,0.50747,0.29544,1.50366,1.71018,1.52409,0.000587875,0.000587875,0.000587875
5,449.373,1.49567,1.90879,1.49176,0.5881,0.48199,0.52013,0.29866,1.50803,1.70653,1.52242,0.0005755,0.0005755,0.0005755
6,538.959,1.48658,1.8215,1.48188,0.64084,0.4939,0.55838,0.33016,1.48326,1.57248,1.48202,0.000563125,0.000563125,0.000563125
7,628.593,1.458,1.74225,1.46377,0.63368,0.51405,0.5608,0.33206,1.49806,1.59309,1.49614,0.00055075,0.00055075,0.00055075
8,717.625,1.44442,1.71238,1.4492,0.64028,0.53903,0.58377,0.34494,1.47068,1.49903,1.48323,0.000538375,0.000538375,0.000538375
9,807.916,1.43278,1.67101,1.44203,0.64111,0.52902,0.58908,0.34917,1.44035,1.48276,1.45987,0.000526,0.000526,0.000526
10,896.776,1.41499,1.61627,1.43029,0.65065,0.5437,0.59398,0.35841,1.43419,1.4721,1.45181,0.000513625,0.000513625,0.000513625
11,985.272,1.4089,1.59547,1.4222,0.64489,0.5334,0.59091,0.35591,1.44134,1.45702,1.44846,0.00050125,0.00050125,0.00050125
12,1078.04,1.39217,1.55252,1.41017,0.66463,0.56421,0.62082,0.37546,1.43002,1.40535,1.4455,0.000488875,0.000488875,0.000488875
13,1171.96,1.38776,1.5314,1.40475,0.68184,0.55432,0.61406,0.37607,1.42852,1.42371,1.43547,0.0004765,0.0004765,0.0004765
14,1252.54,1.3787,1.49679,1.39746,0.68654,0.54937,0.61991,0.38152,1.40334,1.38228,1.42351,0.000464125,0.000464125,0.000464125
15,1333.45,1.36542,1.48047,1.3924,0.68493,0.56439,0.63073,0.38595,1.40896,1.37301,1.42965,0.00045175,0.00045175,0.00045175
16,1419.34,1.3583,1.44722,1.38069,0.67662,0.56327,0.6231,0.38602,1.40476,1.36572,1.42542,0.000439375,0.000439375,0.000439375
17,1508.26,1.34933,1.42436,1.37228,0.71471,0.55625,0.64106,0.39855,1.38919,1.33214,1.40804,0.000427,0.000427,0.000427
18,1598.73,1.34193,1.40339,1.36578,0.70349,0.58629,0.65555,0.40063,1.40237,1.29236,1.41783,0.000414625,0.000414625,0.000414625
19,1687.84,1.33556,1.38386,1.36448,0.71522,0.57173,0.65496,0.40006,1.40362,1.2843,1.42286,0.00040225,0.00040225,0.00040225
20,1774.96,1.31806,1.36174,1.35326,0.7029,0.5827,0.64601,0.39944,1.40055,1.28676,1.41282,0.000389875,0.000389875,0.000389875
21,1862.85,1.3116,1.33583,1.34857,0.69301,0.59129,0.66411,0.41654,1.38239,1.27774,1.40549,0.0003775,0.0003775,0.0003775
22,1951.31,1.3052,1.32973,1.34269,0.70071,0.59225,0.6622,0.41431,1.3742,1.25552,1.39524,0.000365125,0.000365125,0.000365125
