epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.114,1.59775,2.80526,1.50856,0.5636,0.39018,0.42418,0.24075,1.53784,1.95348,1.53142,0.000208051,0.000208051,0.000208051
2,257.431,1.52528,2.18216,1.49691,0.60431,0.41831,0.46877,0.25963,1.5494,1.85179,1.5363,0.00040814,0.00040814,0.00040814
3,388.131,1.53305,2.07797,1.50401,0.53894,0.429,0.45485,0.25285,1.57227,1.89194,1.56744,0.000599979,0.000599979,0.000599979
4,540.43,1.53099,1.99969,1.51554,0.584,0.47393,0.50464,0.28968,1.52227,1.72061,1.52477,0.000587875,0.000587875,0.000587875
5,646.385,1.50883,1.91303,1.49835,0.55649,0.46278,0.48527,0.27551,1.54547,1.80578,1.53084,0.0005755,0.0005755,0.0005755
6,753.866,1.4921,1.81888,1.48981,0.63678,0.52147,0.56338,0.32992,1.48841,1.58984,1.49084,0.000563125,0.000563125,0.000563125
7,862.045,1.47088,1.75101,1.47275,0.63973,0.51003,0.56556,0.32866,1.49673,1.55742,1.48974,0.00055075,0.00055075,0.00055075
8,967.671,1.45495,1.70684,1.45673,0.63542,0.52848,0.58162,0.34864,1.45077,1.50244,1.46678,0.000538375,0.000538375,0.000538375
9,1074.05,1.43698,1.66726,1.44549,0.61853,0.54795,0.58558,0.34824,1.45126,1.49217,1.46686,0.000526,0.000526,0.000526
10,1179.77,1.42437,1.61315,1.43226,0.64106,0.54622,0.59471,0.35555,1.44149,1.4577,1.46213,0.000513625,0.000513625,0.000513625
11,1295.39,1.40892,1.59709,1.42264,0.64912,0.5306,0.58766,0.3562,1.45283,1.49792,1.46262,0.00050125,0.00050125,0.00050125
12,1411.27,1.39654,1.56148,1.42064,0.66742,0.54257,0.60511,0.36879,1.45023,1.4563,1.46655,0.000488875,0.000488875,0.000488875
13,1527.75,1.39033,1.53336,1.40889,0.67215,0.5372,0.6001,0.36447,1.4468,1.42414,1.45567,0.0004765,0.0004765,0.0004765
14,1641.63,1.38037,1.50842,1.39843,0.65986,0.55947,0.61609,0.3798,1.41212,1.39402,1.42567,0.000464125,0.000464125,0.000464125
15,1746.87,1.36775,1.47498,1.39548,0.68158,0.5626,0.62801,0.38567,1.40986,1.35779,1.42689,0.00045175,0.00045175,0.00045175
16,1853.43,1.36162,1.44844,1.38312,0.69137,0.56595,0.62884,0.38607,1.4182,1.35184,1.43552,0.000439375,0.000439375,0.000439375
17,1960.05,1.35208,1.42211,1.37918,0.69296,0.57045,0.636,0.39481,1.4034,1.35122,1.41177,0.000427,0.000427,0.000427
18,2072.44,1.34856,1.41228,1.37215,0.69312,0.57605,0.64596,0.40094,1.39525,1.30674,1.41472,0.000414625,0.000414625,0.000414625
19,2188.44,1.33952,1.39161,1.37106,0.67817,0.5882,0.64702,0.39713,1.4194,1.31056,1.43332,0.00040225,0.00040225,0.00040225
20,2304.76,1.32199,1.36814,1.35786,0.70746,0.583,0.65531,0.40258,1.40727,1.28084,1.41903,0.000389875,0.000389875,0.000389875
21,2419.71,1.31579,1.33964,1.3589,0.68087,0.61058,0.66089,0.40886,1.39324,1.28221,1.40735,0.0003775,0.0003775,0.0003775
22,2535.57,1.30998,1.33185,1.34901,0.71936,0.57678,0.66629,0.41306,1.38692,1.25661,1.40413,0.000365125,0.000365125,0.000365125
23,2652.48,1.30788,1.31977,1.34228,0.71264,0.60099,0.67261,0.41874,1.39513,1.26329,1.41113,0.00035275,0.00035275,0.00035275
24,2770.44,1.30044,1.29473,1.33769,0.72397,0.59469,0.67327,0.42177,1.37835,1.23293,1.39213,0.000340375,0.000340375,0.000340375
25,2887.2,1.29117,1.28541,1.33194,0.74188,0.58334,0.67825,0.41981,1.37951,1.22235,1.38869,0.000328,0.000328,0.000328
26,3002.66,1.29175,1.26734,1.33235,0.71493,0.58534,0.67182,0.41903,1.37825,1.2337,1.39602,0.000315625,0.000315625,0.000315625
27,3119.18,1.27631,1.25463,1.32451,0.71132,0.59023,0.67632,0.42049,1.37801,1.21916,1.39352,0.00030325,0.00030325,0.00030325
28,3235.42,1.27134,1.23251,1.32163,0.73694,0.592,0.67938,0.43117,1.36117,1.20894,1.38247,0.000290875,0.000290875,0.000290875
29,3352.62,1.26733,1.22011,1.3114,0.73669,0.59438,0.68292,0.42914,1.37001,1.18843,1.3822,0.0002785,0.0002785,0.0002785
30,3468.18,1.25082,1.2013,1.30445,0.74212,0.58965,0.68066,0.42677,1.36706,1.19491,1.38677,0.000266125,0.000266125,0.000266125
31,3584.95,1.25514,1.19833,1.30526,0.71963,0.59809,0.68314,0.43158,1.36159,1.1886,1.38008,0.00025375,0.00025375,0.00025375
