epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.5662,1.49751,2.59706,1.45049,0.58693,0.49254,0.52329,0.30351,1.45988,1.73319,1.46204,0.000208051,0.000208051,0.000208051
2,182.108,1.4911,2.11427,1.47626,0.56719,0.48777,0.51298,0.29236,1.49212,1.72262,1.47468,0.00040814,0.00040814,0.00040814
3,271.139,1.5127,2.05991,1.4926,0.52577,0.45755,0.46315,0.26364,1.53165,1.81548,1.53934,0.000599979,0.000599979,0.000599979
4,360.991,1.51839,1.99183,1.50205,0.58054,0.48348,0.50902,0.28858,1.49001,1.70775,1.50202,0.000587875,0.000587875,0.000587875
5,450.624,1.49293,1.89728,1.48896,0.60833,0.47342,0.51971,0.29559,1.51595,1.72819,1.54455,0.0005755,0.0005755,0.0005755
6,540.67,1.48454,1.82405,1.48287,0.60597,0.52581,0.56937,0.3328,1.47994,1.55724,1.48968,0.000563125,0.000563125,0.000563125
7,628.832,1.46432,1.74433,1.46411,0.64051,0.51675,0.56443,0.3376,1.48308,1.55566,1.48454,0.00055075,0.00055075,0.00055075
8,717.534,1.451,1.70818,1.44683,0.65097,0.53689,0.59107,0.35566,1.44002,1.468,1.44672,0.000538375,0.000538375,0.000538375
9,805.824,1.43444,1.64751,1.44205,0.66226,0.51077,0.58617,0.34945,1.44569,1.50674,1.4618,0.000526,0.000526,0.000526
10,894.578,1.42224,1.60587,1.43099,0.62774,0.55607,0.59944,0.35966,1.43577,1.46227,1.43966,0.000513625,0.000513625,0.000513625
11,984.977,1.40797,1.58388,1.41812,0.65585,0.53172,0.58533,0.34923,1.45104,1.47702,1.4664,0.00050125,0.00050125,0.00050125
12,1072.98,1.39365,1.55713,1.41221,0.67417,0.56142,0.62307,0.37471,1.43696,1.40734,1.45544,0.000488875,0.000488875,0.000488875
13,1160.51,1.38977,1.52192,1.40343,0.69103,0.56722,0.62786,0.38209,1.42135,1.37708,1.42425,0.0004765,0.0004765,0.0004765
14,1249.87,1.37742,1.49177,1.39395,0.68624,0.55443,0.62082,0.37911,1.42858,1.37177,1.44109,0.000464125,0.000464125,0.000464125
15,1338.91,1.36619,1.46832,1.38983,0.67198,0.57874,0.6384,0.39208,1.4012,1.34242,1.41752,0.00045175,0.00045175,0.00045175
16,1428.41,1.36174,1.44333,1.37747,0.70378,0.56607,0.63423,0.3945,1.39477,1.35033,1.40729,0.000439375,0.000439375,0.000439375
17,1516.05,1.34825,1.42338,1.37141,0.70015,0.59436,0.65867,0.40905,1.3818,1.31249,1.39623,0.000427,0.000427,0.000427
18,1603.62,1.34552,1.40314,1.3681,0.72257,0.58333,0.65863,0.40579,1.38709,1.28481,1.41366,0.000414625,0.000414625,0.000414625
19,1692.66,1.33837,1.38291,1.36559,0.67632,0.60437,0.65135,0.40125,1.38323,1.27226,1.40614,0.00040225,0.00040225,0.00040225
20,1781.65,1.32426,1.35749,1.3534,0.69612,0.59342,0.65227,0.40199,1.39173,1.27814,1.40502,0.000389875,0.000389875,0.000389875
21,1869.26,1.31383,1.33831,1.34644,0.7252,0.58606,0.66753,0.41744,1.37785,1.24476,1.38856,0.0003775,0.0003775,0.0003775
22,1956.98,1.30857,1.32032,1.34203,0.72105,0.59328,0.67233,0.4209,1.36507,1.24108,1.39087,0.000365125,0.000365125,0.000365125
23,2045.13,1.3101,1.31485,1.34027,0.69849,0.60666,0.67061,0.42177,1.36773,1.24035,1.38781,0.00035275,0.00035275,0.00035275
24,2133.63,1.30145,1.28446,1.33182,0.71058,0.62456,0.68146,0.42948,1.36444,1.21345,1.38462,0.000340375,0.000340375,0.000340375
25,2222.6,1.29294,1.2836,1.3282,0.73243,0.59315,0.67752,0.42316,1.36741,1.21132,1.36954,0.000328,0.000328,0.000328
